ID,Topic,Question_Text,Ideal_Answer
1,Fundamentals of Marksmanship,What are the four fundamentals of rifle marksmanship?,"The four fundamentals are: (1) Sight Alignment, (2) Sight Picture, (3) Respiratory Pause (Breath Control), and (4) Trigger Control. A Marine must master all four to consistently hit targets."
2,Sight Alignment,"Define sight alignment as it applies to the M16A2 service rifle.","Sight alignment is the relationship between the front sight post and the rear sight aperture. The top of the front sight post is centered horizontally and vertically in the rear sight aperture, forming an equal amount of light on either side of the front sight post."
3,Sight Picture,"What is the difference between sight alignment and sight picture?","Sight alignment is the relationship between the front sight post and rear sight aperture. Sight picture adds the target to the equation — it is the placement of the tip of the front sight post (with proper sight alignment maintained) in the center of the target. Sight alignment is the more critical of the two."
4,Trigger Control,"Describe the proper technique for trigger control.","Trigger control is the skillful manipulation of the trigger that causes the rifle to fire without disturbing sight alignment or sight picture. The trigger finger applies smooth, steady, increasing pressure straight to the rear until the rifle fires. The trigger is squeezed with the tip or pad of the index finger, not the joint. The surprise break — where the shot fires without the shooter anticipating the exact moment — is the goal."
5,Breath Control,"Explain the respiratory pause and when a Marine should fire the rifle.","During the breathing cycle, there is a natural respiratory pause between exhaling and inhaling where the body is most relaxed. The Marine should fire during this pause, which lasts 3 to 5 seconds. If the shot is not fired within that window, the Marine should resume breathing and start the cycle again rather than holding breath, which causes muscle tension and trembling."
6,Battlesight Zero,"What is a Battlesight Zero (BZO) and at what distance is it set?","A Battlesight Zero (BZO) is a sight setting that provides the most effective engagement from 0 to 300 yards with minimal adjustment. The BZO is established at 36 yards (33 meters) on a shortened range, which corresponds to a 300-yard zero due to the trajectory of the 5.56mm round crossing the line of sight at both distances."
7,Prone Position,"Describe the prone position and explain why it is the most stable firing position.","In the prone position, the Marine lies flat on the ground with the body angled roughly 15 to 30 degrees from the line of fire. The non-firing elbow is positioned under the rifle to create bone support, and both elbows bear the weight of the rifle. It is the most stable position because it provides the lowest profile, maximum bone support, and the most points of contact with the ground, minimizing muscle tension and natural body movement."
8,Rifle Web Sling,"What is the purpose of the hasty sling and how is it used?","The hasty sling provides additional stability by creating tension between the rifle and the non-firing arm. The non-firing arm is inserted through the sling from the outside so the sling wraps around the outside of the forearm and the back of the hand. This creates a bond between the Marine and the rifle that reduces wobble and supports the weight of the rifle without relying on muscle tension alone."
9,Effects of Weather,"How does wind affect the trajectory of the bullet, and what are the three wind values used to estimate windage adjustments?","Wind pushes the bullet laterally off its intended trajectory. The amount of deflection depends on wind speed, distance, and the angle of the wind relative to the bullet's path. The three wind values are: Full Value wind (blowing from 2, 4, 8, or 10 o'clock — perpendicular to the line of fire), Half Value wind (blowing from 1, 5, 7, or 11 o'clock — at an oblique angle), and No Value wind (blowing from 12 or 6 o'clock — directly into or from behind the shooter)."
10,Weapons Handling,"State the four weapons safety rules every Marine must follow.","The four weapons safety rules are: (1) Treat every weapon as if it were loaded. (2) Never point a weapon at anything you do not intend to shoot. (3) Keep your finger straight and off the trigger until you are ready to fire. (4) Keep the weapon on safe until you intend to fire."
